participant_label_exp1,embezzle,cluster_number,corruption_level,choice,frompilot
5f589778cbfcc20008f579bc,0,7,0,1,0
5c5360b687d9ef0001f1926a,1,3,1,1,0
61111383a154ecf921c483ca,1,1,1,1,0
60574330f62e4338c320ebd6,0,8,0,1,0
5f21c5e16fcf636045690ba3,0,7,0,1,0
605a0a7feebaa514d23eb7ca,0,10,0,1,0
5c48c13bcae0ab0001890ce4,1,6,0,1,0
6105496c2609f049375bb043,0,4,1,1,1
5b69965ba45b62000148e20a,1,5,1,1,0
5f0cfeef098f1e53ff201909,0,10,0,1,0
5f589778cbfcc20008f579bc,0,7,0,1,0
5e6fd7b7df898008fa9b475f,0,9,0,1,0
61129077cddc060a3e863756,0,9,0,1,0
5f21c5e16fcf636045690ba3,0,7,0,1,0
60b778f22bec4cae8ca5cbc8,1,5,1,1,0
60fe69b0d0dbe44e36958b5e,0,6,0,1,1
5f1419bee764c61e136008ed,1,4,1,1,0
5c5360b687d9ef0001f1926a,1,3,1,1,0
5d45bde698c84000164e1200,0,9,0,1,0
5d35989e71b4880017d5cc81,0,10,0,1,0
5b79e92cdb11320001c3d5da,0,7,0,1,0
5e19961e1b8014222555c3b2,1,4,1,1,0
62348cbf42f35d633a816dcd,0,7,0,1,0
5f6dc0b520717c249891fa0c,1,5,1,1,0
61f2aca9a09e72f23cbaf6bd,0,9,0,1,0
59fb1518b47dfc0001b6659b,1,3,1,1,0
612f4efe7a2e36e60e3254a7,1,4,1,1,0
5f37f2d6d5b7e82a1f62d54a,1,2,1,1,0
5f1d970b1af38d6dc6620129,0,8,0,1,0
5ca7050c6fa13f00199cc2d4,0,8,0,1,0
61129077cddc060a3e863756,0,9,0,1,0
6105496c2609f049375bb043,0,4,1,1,1
6105496c2609f049375bb043,0,4,1,1,1
60feb4a91f63a713823af9e0,0,6,0,1,1
5deae08fe4f84020dfafac72,0,10,0,1,0
5a08defa5d06850001aff7b1,0,8,0,1,0
5c6745b8dbd7460001467140,0,6,0,1,0
5ffa2123b5a05a3b17839781,1,4,1,1,0
5c43a4bf81cc58000186f408,0,9,0,1,0
5422ce27fdf99b328baf8e08,1,7,0,1,0
5c6745b8dbd7460001467140,0,6,0,1,0
61111383a154ecf921c483ca,1,1,1,1,0
5e19961e1b8014222555c3b2,1,4,1,1,0
60cb0d7943161ccb163feadd,1,5,1,1,0
603e97037466720009754400,1,4,1,1,0
5eb1614dfff7a624f18e62be,0,10,0,1,0
5ea343dd9b066613c3804f6e,1,5,1,1,0
5c431559dc3ef30001b09341,1,2,1,1,0
6146033db218ae122ce1bbf9,1,1,1,1,0
